"scientificName","coordinateUncertaintyInMeters","publishingCountry","stateProvince","year","references","gbifID","Species_name","Latitude_WGS84","Longitude_WGS84","FID_1","Id","Long_m","Lat_m"
"Anaxyrus boreas (Baird & Girard, 1852)",282,"US","British Columbia",2022,"https://www.inaturalist.org/observations/131415764",3902415452,"Western toad",49.983313,-119.201668,0,0,-1560901.1286512,1370101.31076704
"Anaxyrus boreas (Baird & Girard, 1852)",856,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131535841",3902447041,"Western toad",57.207789,-125.379466,0,0,-1709214.46082129,2282457.31057023
"Anaxyrus boreas (Baird & Girard, 1852)",24,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131650954",3902417991,"Western toad",49.632671,-125.532097,0,0,-1987078.81690508,1448987.57076867
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131681827",3902264468,"Western toad",49.764449,-123.033682,0,0,-1819419.40870246,1413622.50800573
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131750875",3903233673,"Western toad",49.634338,-125.526838,0,0,-1986676.45994136,1449063.77905376
"Anaxyrus boreas (Baird & Girard, 1852)",16,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131759697",3902554384,"Western toad",55.496609,-122.565166,0,0,-1604192.75207765,2045887.20831962
"Anaxyrus boreas (Baird & Girard, 1852)",3,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131775348",3902738872,"Western toad",51.163197,-119.631958,0,0,-1555129.66869708,1511286.00203693
"Anaxyrus boreas (Baird & Girard, 1852)",166,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131796864",3902807030,"Western toad",49.274227,-122.215438,0,0,-1781512.97005614,1342728.29722608
"Anaxyrus boreas (Baird & Girard, 1852)",9,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131818439",3902523987,"Western toad",51.420405,-121.22162,0,0,-1649427.98491304,1567254.25268528
"Anaxyrus boreas (Baird & Girard, 1852)",6,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131818460",3902869412,"Western toad",51.420288,-121.221628,0,0,-1649432.09332932,1567241.19025841
"Anaxyrus boreas (Baird & Girard, 1852)",8,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131818483",3902237352,"Western toad",51.423513,-121.215272,0,0,-1648927.13632961,1567494.50965459
"Anaxyrus boreas (Baird & Girard, 1852)",24,"US","British Columbia",2022,"https://www.inaturalist.org/observations/131852996",3902723130,"Western toad",50.124581,-122.938108,0,0,-1801307.50920905,1452378.14677527
"Anaxyrus boreas (Baird & Girard, 1852)",22,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131853086",4458334683,"Western toad",48.537531,-124.212941,0,0,-1938791.25168256,1298786.43093868
"Anaxyrus boreas (Baird & Girard, 1852)",7,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131859377",3902307050,"Western toad",50.126983,-122.93557,0,0,-1801063.36679229,1452600.51544395
"Anaxyrus boreas (Baird & Girard, 1852)",64,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131940076",3902498025,"Western toad",49.872516,-123.254624,0,0,-1830280.21656078,1430050.48923934
"Anaxyrus boreas boreas",30,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/131966819",4133792432,"Western toad",50.652317,-120.710698,0,0,-1639959.54384788,1471563.60806392
"Anaxyrus boreas (Baird & Girard, 1852)",82,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132031897",3902574856,"Western toad",49.60544,-125.044127,0,0,-1956253.42399045,1435790.52354592
"Anaxyrus boreas (Baird & Girard, 1852)",34,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132033533",3902756713,"Western toad",49.913758,-124.507692,0,0,-1910501.71862411,1459408.92949407
"Anaxyrus boreas (Baird & Girard, 1852)",61,"US","British Columbia",2022,"https://www.inaturalist.org/observations/132036939",3902284841,"Western toad",49.047795,-125.501982,0,0,-2006173.07019435,1382899.99412748
"Anaxyrus boreas (Baird & Girard, 1852)",61,"US","British Columbia",2022,"https://www.inaturalist.org/observations/132040015",3902538823,"Western toad",49.071509,-125.525557,0,0,-2006869.23599517,1386054.33965232
"Anaxyrus boreas (Baird & Girard, 1852)",8,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132042703",3902768839,"Western toad",49.625619,-125.533064,0,0,-1987395.73014539,1448219.17271575
"Anaxyrus boreas (Baird & Girard, 1852)",29,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132043435",3902529188,"Western toad",52.149289,-119.583708,0,0,-1523646.91269782,1622184.53784587
"Anaxyrus boreas (Baird & Girard, 1852)",57,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132151744",3902529445,"Western toad",54.763291,-122.595627,0,0,-1629378.53074927,1965212.72294597
"Anaxyrus boreas (Baird & Girard, 1852)",48,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132152306",3902299191,"Western toad",54.762739,-122.596903,0,0,-1629472.28642669,1965173.42710989
"Anaxyrus boreas (Baird & Girard, 1852)",93,"US","British Columbia",2022,"https://www.inaturalist.org/observations/132194907",3902263885,"Western toad",49.324006,-116.131353,0,0,-1374027.77156335,1247115.44814913
"Anaxyrus boreas (Baird & Girard, 1852)",319,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132396072",3902689236,"Western toad",50.208726,-120.635952,0,0,-1648478.33935546,1419999.40503718
"Anaxyrus boreas (Baird & Girard, 1852)",100,"US","British Columbia",2022,"https://www.inaturalist.org/observations/132431831",3903340825,"Western toad",50.654851,-120.15289,0,0,-1603679.08552366,1462307.76910623
"Anaxyrus boreas (Baird & Girard, 1852)",7,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132573847",3902529918,"Western toad",53.804424,-123.056556,0,0,-1688086.69895698,1866755.83504491
"Anaxyrus boreas (Baird & Girard, 1852)",30,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132659845",3903437717,"Western toad",49.315489,-122.746108,0,0,-1815272.77681673,1357458.79268258
"Anaxyrus boreas (Baird & Girard, 1852)",5,"US","British Columbia",2022,"https://www.inaturalist.org/observations/132689648",3903458467,"Western toad",49.666236,-125.47525,0,0,-1982171.58068204,1451551.455377
"Anaxyrus boreas (Baird & Girard, 1852)",138,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132719286",3902273659,"Western toad",49.289986,-124.618333,0,0,-1939481.53815231,1391665.5562203
"Anaxyrus boreas (Baird & Girard, 1852)",41,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132735520",3902872444,"Western toad",49.04911,-125.435104,0,0,-2001725.29246352,1381633.53256887
"Anaxyrus boreas (Baird & Girard, 1852)",48,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/132778518",3903463363,"Western toad",50.06987,-120.835533,0,0,-1665747.76449493,1407744.35614619
"Anaxyrus boreas (Baird & Girard, 1852)",127,"US","British Columbia",2022,"https://www.inaturalist.org/observations/132912086",3902376189,"Western toad",50.045661,-117.18048,0,0,-1425684.52032625,1345381.63300626
"Anaxyrus boreas (Baird & Girard, 1852)",288,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/133027476",3903351499,"Western toad",52.058811,-120.156223,0,0,-1562501.94768785,1621278.15981484
"Anaxyrus boreas (Baird & Girard, 1852)",8,"US","British Columbia",2022,"https://www.inaturalist.org/observations/133145866",3902984819,"Western toad",49.343108,-124.622412,0,0,-1937892.35102799,1397711.99678327
"Anaxyrus boreas (Baird & Girard, 1852)",8,"US","British Columbia",2022,"https://www.inaturalist.org/observations/133246426",3903132938,"Western toad",53.310414,-124.757094,0,0,-1808138.37817734,1843243.78459843
"Anaxyrus boreas (Baird & Girard, 1852)",35,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/133297816",3902846119,"Western toad",48.857381,-125.021336,0,0,-1981276.5771468,1351447.41701126
"Anaxyrus boreas (Baird & Girard, 1852)",786,"US","British Columbia",2022,"https://www.inaturalist.org/observations/133404696",3903479217,"Western toad",50.684534,-128.262685,0,0,-2122775.04182856,1625128.43052081
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/133408204",3903159802,"Western toad",48.803955,-124.002961,0,0,-1915655.35078344,1324510.8187144
"Anaxyrus boreas (Baird & Girard, 1852)",4,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/133840540",3903350928,"Western toad",49.342987,-124.628988,0,0,-1938328.19600507,1397832.85819921
"Anaxyrus boreas (Baird & Girard, 1852)",57,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/134070675",3902481751,"Western toad",49.599554,-122.64865,0,0,-1799571.39312445,1387672.84731741
"Anaxyrus boreas (Baird & Girard, 1852)",40,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/134074485",3903180663,"Western toad",49.552468,-122.605085,0,0,-1798239.65991194,1381530.13063008
"Anaxyrus boreas (Baird & Girard, 1852)",40,"CA","British Columbia",2022,"https://www.inaturalist.org/observations/134075795",3903170162,"Western toad",49.552307,-122.605293,0,0,-1798258.5878576,1381515.89713432
"Anaxyrus boreas (Baird & Girard, 1852)",10,"US","British Columbia",2022,"https://www.inaturalist.org/observations/134639774",3903229788,"Western toad",53.640697,-132.056764,0,0,-2232915.62567229,2035058.95809765
"Anaxyrus boreas (Baird & Girard, 1852)",6,"US","British Columbia",2022,"https://www.inaturalist.org/observations/134639877",3903526310,"Western toad",54.029725,-131.858003,0,0,-2204546.55095293,2072299.84124414
"Anaxyrus boreas (Baird & Girard, 1852)",20,"US","British Columbia",2022,"https://www.inaturalist.org/observations/134925896",3912317936,"Western toad",50.510132,-118.25312,0,0,-1483913.38739534,1414909.21509236
